sender,recipient,share,power1,order_type,power2stance of recipient
AUSTRIA,ENGLAND,0,AUSTRIA,move,,neutral
AUSTRIA,ENGLAND,1,AUSTRIA,move,,neutral
AUSTRIA,ENGLAND,0,AUSTRIA,move,,neutral
AUSTRIA,FRANCE,1,AUSTRIA,move,,neutral
AUSTRIA,FRANCE,1,AUSTRIA,move,,neutral
AUSTRIA,FRANCE,1,AUSTRIA,move,,neutral
AUSTRIA,GERMANY,0,AUSTRIA,move,,neutral
AUSTRIA,GERMANY,1,AUSTRIA,move,,neutral
AUSTRIA,GERMANY,1,AUSTRIA,move,,neutral
AUSTRIA,ITALY,0,AUSTRIA,move,,neutral
AUSTRIA,ITALY,0,AUSTRIA,move,,neutral
AUSTRIA,ITALY,1,AUSTRIA,move,,neutral
AUSTRIA,RUSSIA,1,AUSTRIA,move,,neutral
AUSTRIA,RUSSIA,1,AUSTRIA,move,,neutral
AUSTRIA,RUSSIA,0,AUSTRIA,move,,neutral
AUSTRIA,TURKEY,1,AUSTRIA,move,,neutral
AUSTRIA,TURKEY,0,AUSTRIA,move,,neutral
AUSTRIA,TURKEY,0,AUSTRIA,move,,neutral
AUSTRIA,ENGLAND,1,AUSTRIA,move,,neutral
AUSTRIA,ENGLAND,1,AUSTRIA,move,,neutral
AUSTRIA,ENGLAND,1,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,FRANCE,0,AUSTRIA,move,,neutral
AUSTRIA,FRANCE,0,AUSTRIA,move,,neutral
AUSTRIA,FRANCE,1,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,GERMANY,1,AUSTRIA,move,,neutral
AUSTRIA,GERMANY,1,AUSTRIA,move,,neutral
AUSTRIA,GERMANY,0,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,ITALY,1,AUSTRIA,move,,neutral
AUSTRIA,ITALY,1,AUSTRIA,move,,neutral
AUSTRIA,ITALY,1,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,RUSSIA,1,AUSTRIA,move,,neutral
AUSTRIA,RUSSIA,1,AUSTRIA,move,,neutral
AUSTRIA,RUSSIA,0,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,TURKEY,0,AUSTRIA,move,,neutral
AUSTRIA,TURKEY,0,AUSTRIA,move,,neutral
AUSTRIA,TURKEY,0,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,ENGLAND,0,AUSTRIA,attack,RUSSIA,neutral
AUSTRIA,ENGLAND,0,AUSTRIA,move,,neutral
AUSTRIA,ENGLAND,1,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,ENGLAND,1,AUSTRIA,support,TURKEY,neutral
AUSTRIA,FRANCE,1,AUSTRIA,attack,RUSSIA,neutral
AUSTRIA,FRANCE,0,AUSTRIA,move,,neutral
AUSTRIA,FRANCE,0,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,FRANCE,0,AUSTRIA,support,TURKEY,neutral
AUSTRIA,GERMANY,1,AUSTRIA,attack,RUSSIA,neutral
AUSTRIA,GERMANY,0,AUSTRIA,move,,neutral
AUSTRIA,GERMANY,0,AUSTRIA,support,AUSTRIA,neutral
AUSTRIA,GERMANY,0,AUSTRIA,support,TURKEY,neutral
